Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2024-06-21,2024-06-25,CUST743,Megan Browning,Consumer,PROD8208,Pen,Office Supplies,North,Delaware,Johnsonchester,4,1132,15,3848.8,3091.57,757.23,Credit Card,Delivered,Burton-Camacho,wilsonmark@carney.com,9,Yes,49
ORD1001,2024-09-15,2024-09-20,CUST538,Richard Ochoa,Consumer,PROD7789,Laptop,Electronics,West,Louisiana,Shieldstown,7,1949,20,10914.4,6905.09,4009.31,Net Banking,Cancelled,Bishop and Sons,michaelrodriguez@williams-williams.com,39,No,0
ORD1002,2026-01-14,2026-01-19,CUST967,Stephen Mcdaniel,Corporate,PROD4583,File Folder,Office Supplies,South,Rhode Island,North Masonton,6,623,10,3364.2,2089.85,1274.35,Credit Card,Returned,Strickland-Cooper,jason73@barnett.com,21,No,0
ORD1003,2025-12-03,2025-12-09,CUST387,Christopher Adams,Consumer,PROD9024,Study Table,Furniture,South,Mississippi,Lake Daniel,6,246,15,1254.6,886.52,368.08,Net Banking,Delivered,Bruce-Shaw,kfoster@arias.com,45,No,0
ORD1004,2024-04-20,2024-04-22,CUST723,Erica Richardson,Home Office,PROD5439,Sugar,Grocery,South,Utah,West Brian,5,4280,5,20330.0,17686.96,2643.04,Cash,Delivered,Stephenson-Moran,steven80@fry-chapman.com,20,No,0
ORD1005,2025-03-26,2025-04-01,CUST105,Douglas Burch,Corporate,PROD1668,Headphones,Electronics,East,Iowa,North Ashleeton,5,3761,0,18805.0,14020.6,4784.4,Net Banking,Cancelled,"Jordan, Bates and Lee",zlopez@weiss-walsh.com,4,Yes,22
ORD1006,2025-09-14,2025-09-20,CUST290,Edward Nolan,Consumer,PROD5973,Study Table,Furniture,East,Michigan,West Michael,6,3417,5,19476.9,12211.87,7265.03,Cash,Returned,"Garcia, Williams and Smith",bullockpatrick@snyder.com,47,No,0
ORD1007,2024-06-07,2024-06-13,CUST876,Sheila Ford,Home Office,PROD5765,Headphones,Electronics,East,Alabama,Hurleyville,1,1418,15,1205.3,818.27,387.03,Cash,Pending,Mitchell-Patton,jacob22@harris.com,20,No,0
ORD1008,2024-05-26,2024-05-27,CUST586,Daniel Cuevas,Consumer,PROD6949,Bookshelf,Furniture,South,North Dakota,Armstrongfort,10,4412,0,44120.0,26766.79,17353.21,Cash,Delivered,"Ford, Lee and Garrett",jacoblopez@campbell-williams.com,28,No,0
ORD1009,2025-05-29,2025-05-31,CUST882,James Jones,Home Office,PROD6813,Office Chair,Furniture,South,Washington,Hannahstad,8,4185,0,33480.0,27248.17,6231.83,UPI,Cancelled,"Parrish, Armstrong and Velazquez",williamshelen@reed.com,37,No,0
ORD1010,2026-02-13,2026-02-20,CUST668,Matthew Harrison,Consumer,PROD3007,Keyboard,Electronics,East,Delaware,Jessemouth,8,3584,15,24371.2,20867.39,3503.81,Credit Card,Returned,Carpenter PLC,adamochoa@tran-anderson.com,47,No,0
ORD1011,2026-02-07,2026-02-09,CUST664,Amber Jones,Consumer,PROD8843,Notebook,Office Supplies,West,Connecticut,Janetfurt,8,4727,15,32143.6,20071.97,12071.63,Net Banking,Cancelled,Bryant Ltd,perrykerri@carroll.com,18,No,0
ORD1012,2025-09-21,2025-09-25,CUST107,John Green,Corporate,PROD3017,File Folder,Office Supplies,East,Nebraska,Lake Daniel,10,3687,15,31339.5,21693.65,9645.85,Cash,Returned,"Saunders, Ball and Harvey",richard14@lewis.org,39,No,0
ORD1013,2024-05-01,2024-05-02,CUST755,Joyce Lynch,Corporate,PROD3434,Stapler,Office Supplies,North,Oklahoma,New Stephen,8,2669,10,19216.8,12426.89,6789.91,Credit Card,Returned,Flynn-Klein,ashley93@davis-nicholson.com,48,No,0
ORD1014,2025-09-14,2025-09-19,CUST737,Amy Lambert,Corporate,PROD1973,Stapler,Office Supplies,East,Utah,New Kimberlybury,3,2607,5,7429.95,4651.36,2778.59,UPI,Cancelled,Thomas-Henry,stephanie55@mcdowell.com,12,No,0
ORD1015,2025-02-05,2025-02-06,CUST267,Courtney Zavala,Home Office,PROD2272,Sofa,Furniture,East,Oregon,Dawnshire,4,1559,15,5300.6,4745.71,554.89,Credit Card,Pending,"Hayes, Chapman and Jones",webstermary@lane.biz,23,No,0
ORD1016,2026-02-19,2026-02-21,CUST752,Walter Ruiz,Home Office,PROD1525,Office Chair,Furniture,East,South Carolina,Thomasbury,8,1947,0,15576.0,12280.49,3295.51,Credit Card,Returned,Bishop and Sons,angela98@wang-ross.com,21,No,0
ORD1017,2024-04-17,2024-04-18,CUST964,Brittany Ryan,Corporate,PROD8807,Study Table,Furniture,East,Kansas,Pamelafurt,1,3304,20,2643.2,1672.48,970.72,Credit Card,Cancelled,"Kelley, Walker and Schroeder",steven99@cooper.biz,19,No,0
ORD1018,2025-02-02,2025-02-05,CUST108,Sheryl Ali,Corporate,PROD4577,Snacks,Grocery,West,Kansas,South Garrettside,1,1032,15,877.2,712.82,164.38,Cash,Cancelled,"West, Velasquez and Morris",ssmith@santiago.com,11,No,0
ORD1019,2024-08-01,2024-08-06,CUST261,Erin Hoover,Consumer,PROD3497,Keyboard,Electronics,North,West Virginia,North Lori,4,1494,0,5976.0,4285.87,1690.13,UPI,Pending,Harris-Smith,shall@gutierrez-meyers.net,12,No,0
ORD1020,2025-03-05,2025-03-06,CUST144,Katherine Santana,Consumer,PROD6409,Keyboard,Electronics,West,Washington,South Julie,6,1056,10,5702.4,3970.2,1732.2,Cash,Pending,Lutz PLC,nancyward@benitez.com,43,No,0
ORD1021,2024-05-19,2024-05-23,CUST616,Tanner Wagner,Corporate,PROD3635,Calculator,Office Supplies,West,Minnesota,Michaelhaven,1,998,5,948.1,595.16,352.94,UPI,Pending,"Mcclain, Walter and Ross",jay94@chen.com,0,Yes,40
ORD1022,2025-10-07,2025-10-13,CUST702,Sarah Thomas,Consumer,PROD8650,Headphones,Electronics,East,South Carolina,East Robert,2,249,0,498.0,336.69,161.31,Net Banking,Cancelled,Hernandez LLC,gsmith@miller-burke.com,49,No,0
ORD1023,2025-02-19,2025-02-21,CUST592,Brad Adams,Corporate,PROD7471,Headphones,Electronics,North,Maryland,Savannahmouth,9,1964,20,14140.8,10547.91,3592.89,Net Banking,Cancelled,Mayer Group,mmelton@harrell-schneider.org,42,No,0
ORD1024,2025-12-08,2025-12-13,CUST320,Amy Carey,Consumer,PROD9801,Bookshelf,Furniture,East,Iowa,Lake Rachel,10,2070,15,17595.0,13053.49,4541.51,Net Banking,Pending,Lopez Group,ddiaz@roberts.biz,32,No,0
ORD1025,2024-09-07,2024-09-13,CUST859,Jeremy Combs,Corporate,PROD1790,Rice Bag,Grocery,West,Tennessee,Gordonmouth,9,1158,0,10422.0,8492.13,1929.87,Cash,Delivered,Stewart LLC,jeffrey59@cole.com,21,No,0
ORD1026,2025-04-21,2025-04-24,CUST788,Robert Cooley,Home Office,PROD3609,Headphones,Electronics,North,North Dakota,North Amy,3,399,0,1197.0,926.56,270.44,UPI,Cancelled,"Gutierrez, Lawrence and Brown",adamsdavid@peck-thomas.biz,4,Yes,28
ORD1027,2025-10-31,2025-11-05,CUST123,Zachary Thomas,Home Office,PROD4821,Rice Bag,Grocery,South,Oklahoma,Barajaschester,9,4991,20,35935.2,28223.35,7711.85,Cash,Returned,James Ltd,chris35@jones-dominguez.com,34,No,0
ORD1028,2025-11-30,2025-12-06,CUST683,John Lucas,Corporate,PROD2786,Sofa,Furniture,West,Nebraska,Mistyton,2,4310,15,7327.0,5845.48,1481.52,Net Banking,Returned,Taylor and Sons,hrodriguez@mosley.com,33,No,0
ORD1029,2024-10-05,2024-10-11,CUST603,Debra Sanchez,Home Office,PROD8919,Office Chair,Furniture,South,Louisiana,Lewisview,10,2058,10,18522.0,13559.79,4962.21,Credit Card,Returned,Howard Inc,omitchell@ellis.com,35,No,0
ORD1030,2024-11-28,2024-12-01,CUST703,Shelly Hicks,Consumer,PROD8096,File Folder,Office Supplies,West,Georgia,East Sarahbury,3,1680,10,4536.0,3154.65,1381.35,Net Banking,Returned,"Galloway, Madden and Baker",inelson@green-howard.biz,33,No,0
ORD1031,2024-11-03,2024-11-05,CUST805,Lori Suarez,Consumer,PROD3462,Juice Pack,Grocery,West,Oklahoma,New Kellyview,8,1333,5,10130.8,6960.28,3170.52,UPI,Delivered,Oconnor-Hart,tstanley@escobar.biz,49,No,0
ORD1032,2025-03-02,2025-03-04,CUST301,Rebecca White,Home Office,PROD9570,Study Table,Furniture,West,Georgia,Jamesfort,6,1324,15,6752.4,5815.45,936.95,UPI,Returned,"Fernandez, Murphy and Shaffer",campbellvictor@powell.com,44,No,0
ORD1033,2025-04-21,2025-04-27,CUST240,Jose Roberts,Consumer,PROD6451,Sugar,Grocery,South,Ohio,Garciaside,3,2283,10,6164.1,3704.32,2459.78,UPI,Cancelled,Lee-Hamilton,hwhite@taylor-gomez.com,44,No,0
ORD1034,2026-04-11,2026-04-16,CUST247,Victor Hensley,Consumer,PROD2670,File Folder,Office Supplies,East,South Carolina,Port Grace,4,2398,20,7673.6,6880.55,793.05,Cash,Cancelled,Davis Ltd,jeffreyadams@bridges.net,40,No,0
ORD1035,2025-06-12,2025-06-13,CUST128,Erica Butler,Home Office,PROD8838,Laptop,Electronics,East,Nebraska,Gregoryfort,10,4621,20,36968.0,29520.03,7447.97,Credit Card,Pending,Mendez Group,kimerik@stone.com,28,No,0
ORD1036,2025-10-18,2025-10-23,CUST276,Richard Castro,Consumer,PROD8053,Mouse,Electronics,East,Vermont,South James,6,2108,5,12015.6,7229.35,4786.25,UPI,Delivered,Molina-Mckay,fandrews@cochran-lowe.org,44,No,0
ORD1037,2024-06-14,2024-06-19,CUST964,Cynthia Parks,Corporate,PROD8248,Study Table,Furniture,North,South Dakota,Lake Nicole,2,2193,0,4386.0,3402.83,983.17,Net Banking,Returned,"Foster, Jackson and Gonzalez",vanessa91@jennings.net,28,No,0
